Datetime,Open,High,Low,Close,Adj Close,Volume,EMA,EMASignal,VSignal,PriceSignal,TotSignal
2022-02-07 17:00:00,43757.94921875,44185.5546875,43652.61328125,44176.5859375,44176.5859375,1062993920,,3,1,0,0
2022-02-07 18:00:00,44188.765625,44328.8984375,43837.80078125,43996.78125,43996.78125,1178132480,,3,1,0,0
2022-02-07 19:00:00,44017.015625,44401.86328125,44015.95703125,44358.72265625,44358.72265625,1107984384,,3,1,0,0
2022-02-07 20:00:00,44333.453125,44392.17578125,43902.203125,43976.8125,43976.8125,504535040,,3,0,0,0
2022-02-07 21:00:00,44009.015625,44199.80859375,43904.8671875,44048.28125,44048.28125,759392256,,3,1,0,0
2022-02-07 22:00:00,44046.640625,44160.04296875,44016.2578125,44115.09375,44115.09375,391915520,,3,1,0,0
2022-02-07 23:00:00,44116.16796875,44151.94140625,43833.625,43847.3203125,43847.3203125,0,,3,0,0,0
2022-02-08 00:00:00,43854.65234375,43930.8046875,43645.6328125,43849.0234375,43849.0234375,0,,3,1,0,0
2022-02-08 01:00:00,43855.26953125,44060.44140625,43855.26953125,44045.13671875,44045.13671875,0,,3,1,0,0
2022-02-08 02:00:00,44051.89453125,44071.1484375,43951.6171875,43982.44921875,43982.44921875,0,,3,1,0,0
2022-02-08 03:00:00,43981.87890625,44141.21875,43914.3828125,44141.21875,44141.21875,0,,3,1,0,0
2022-02-08 04:00:00,44145.81640625,44312.44140625,44114.70703125,44312.44140625,44312.44140625,275177472,,3,1,0,0
2022-02-08 05:00:00,44313.78125,44916.61328125,44271.76171875,44900.4296875,44900.4296875,882800640,,3,1,0,0
2022-02-08 06:00:00,44894.91796875,45293.8671875,44614.26953125,44764.84765625,44764.84765625,2001659904,,3,1,0,0
2022-02-08 07:00:00,44774.375,44900.828125,44641.17578125,44881.68359375,44881.68359375,499482624,,3,1,0,0
2022-02-08 08:00:00,44885.0234375,44885.0234375,44054.24609375,44081.41015625,44081.41015625,1030422528,,3,1,0,0
2022-02-08 09:00:00,44076.2265625,44115.6640625,43674.69921875,43872.3359375,43872.3359375,1557581824,,3,1,0,0
2022-02-08 10:00:00,43866.28125,43919.62109375,43681.16796875,43895.08984375,43895.08984375,774103040,,3,1,0,0
2022-02-08 11:00:00,43870.42578125,44000.29296875,43785.8828125,43938.5390625,43938.5390625,311369728,,3,0,0,0
2022-02-08 12:00:00,43976.2265625,43976.2265625,43274.3828125,43428.32421875,43428.32421875,740126720,,3,1,0,0
2022-02-08 13:00:00,43435.97265625,43568.953125,43315.1484375,43568.953125,43568.953125,799969280,,3,1,0,0
2022-02-08 14:00:00,43574.7578125,43811.02734375,43574.7578125,43696.74609375,43696.74609375,0,,3,1,0,0
2022-02-08 15:00:00,43690.10546875,43690.10546875,43098.17578125,43458.84765625,43458.84765625,0,,3,1,0,0
2022-02-08 16:00:00,43459.12890625,43618.52734375,43094.6640625,43100.63671875,43100.63671875,0,,3,1,0,0
2022-02-08 17:00:00,43088.0859375,43149.9765625,42807.8359375,43001.6640625,43001.6640625,591575040,,3,1,0,0
2022-02-08 18:00:00,42997.36328125,43243.97265625,42974.4296875,42996.171875,42996.171875,0,,3,1,0,0
2022-02-08 19:00:00,42999.60546875,43099.32421875,42812.671875,43030.90234375,43030.90234375,0,,3,1,0,0
2022-02-08 20:00:00,43031.09375,44199.28515625,42995.82421875,44185.66796875,44185.66796875,1449226240,,3,1,0,0
