Datetime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-12-05 02:00:00,41805.06,41815.05,41622.21,41741.09,1312.73431,2023-12-05 02:59:59.999000072,54767452.738334,62689,638.12882,26621109.4068563,0
2023-12-05 03:00:00,41741.09,41837.12,41708.01,41829.99,983.27265,2023-12-05 03:59:59.999000072,41084102.5333233,45192,485.68073,20291726.5542413,0
2023-12-05 04:00:00,41829.98,41831.73,41724.75,41777.79,761.13832,2023-12-05 04:59:59.999000072,31798406.4972803,42212,387.65844,16194179.19508,0
2023-12-05 05:00:00,41777.78,41918.0,41725.0,41911.09,909.3979,2023-12-05 05:59:59.999000072,38064628.8549656,50310,489.79699,20501753.3091493,0
2023-12-05 06:00:00,41911.1,41919.08,41667.34,41723.97,1365.88736,2023-12-05 06:59:59.999000072,57075060.2364673,55793,628.7572,26270370.764527,0
2023-12-05 07:00:00,41723.97,41729.05,41414.0,41528.0,3465.68948,2023-12-05 07:59:59.999000072,143886906.9536111,108875,1292.43512,53673005.2341992,0
2023-12-05 08:00:00,41528.0,41634.7,41420.0,41614.13,1584.89444,2023-12-05 08:59:59.999000072,65840882.2646078,73908,765.44745,31801328.6784703,0
2023-12-05 09:00:00,41614.12,41728.0,41589.8,41705.54,1134.17175,2023-12-05 09:59:59.999000072,47261394.7033295,50426,577.3912,24059006.9948405,0
2023-12-05 10:00:00,41705.55,41758.77,41617.88,41617.89,1073.35885,2023-12-05 10:59:59.999000072,44757976.607105,47472,499.11985,20812656.5261323,0
2023-12-05 11:00:00,41617.88,41741.73,41565.13,41726.09,1489.80419,2023-12-05 11:59:59.999000072,62072034.1642301,51489,715.58524,29818418.0364758,0
2023-12-05 12:00:00,41726.09,41874.23,41694.0,41868.8,1578.61104,2023-12-05 12:59:59.999000072,65985966.865222,55782,872.04696,36451830.6684503,0
2023-12-05 13:00:00,41868.8,42081.66,41814.0,41824.72,2508.16561,2023-12-05 13:59:59.999000072,105142957.5541546,74119,1361.44355,57078182.5656372,0
2023-12-05 14:00:00,41824.73,42250.0,41814.24,42194.0,3294.51701,2023-12-05 14:59:59.999000072,138643591.3810786,89369,1819.48037,76558250.9806646,0
2023-12-05 15:00:00,42194.01,42497.0,42092.0,42268.29,3722.28547,2023-12-05 15:59:59.999000072,157366573.4315358,103419,1998.05718,84473333.6589074,0
2023-12-05 19:00:00,43712.0,43950.0,43587.5,43814.36,3548.04727,2023-12-05 19:59:59.999000072,155281208.2319857,94095,1670.4497,73115599.5780814,0
2023-12-05 20:00:00,43814.37,43845.45,43395.99,43779.78,2829.98362,2023-12-05 20:59:59.999000072,123425689.2886844,76751,1354.67465,59076115.6833278,0
2023-12-05 21:00:00,43779.77,44228.0,43673.25,43891.1,3261.32787,2023-12-05 21:59:59.999000072,143319343.1922752,85255,1801.46978,79158994.5285986,0
2023-12-05 22:00:00,43891.1,44488.0,43792.42,44285.4,4011.627,2023-12-05 22:59:59.999000072,177388071.3129792,101402,2105.93886,93116359.0866687,0
2023-12-05 23:00:00,44285.41,44289.95,43850.0,44073.32,3320.16022,2023-12-05 23:59:59.999000072,146269669.3246417,75523,1540.37046,67859684.7571285,0
2023-12-06 00:00:00,44073.82,44146.08,43830.45,44139.0,2750.31625,2023-12-06 00:59:59.999000072,121003359.0689837,65342,1410.30235,62049422.6912609,0
2023-12-06 01:00:00,44139.0,44145.37,43753.12,43871.37,2209.57687,2023-12-06 01:59:59.999000072,97115460.5693921,84705,976.66847,42932563.513789,0
2023-12-06 02:00:00,43871.36,43909.67,43565.62,43903.9,1822.01593,2023-12-06 02:59:59.999000072,79751935.8783222,74353,932.92324,40838053.7545886,0
2023-12-06 03:00:00,43903.91,43915.52,43660.22,43736.06,1562.17308,2023-12-06 03:59:59.999000072,68416834.1692353,54802,695.92742,30472761.9435198,0
2023-12-06 04:00:00,43736.06,43857.13,43594.0,43727.6,1354.31992,2023-12-06 04:59:59.999000072,59223416.7962396,61796,635.85415,27804409.5177368,0
2023-12-06 05:00:00,43727.61,43842.62,43545.03,43676.33,1840.34373,2023-12-06 05:59:59.999000072,80389201.9929008,85752,984.86484,43019403.1189632,0
2023-12-06 06:00:00,43676.33,43732.5,43444.0,43671.04,2093.83517,2023-12-06 06:59:59.999000072,91271201.3513106,89475,927.7474,40437291.1753939,0
2023-12-06 07:00:00,43671.04,43724.63,43500.0,43688.87,1618.58734,2023-12-06 07:59:59.999000072,70591860.3106127,76133,776.3533,33858597.2140418,0
2023-12-06 08:00:00,43688.87,43874.0,43640.0,43825.84,1845.18131,2023-12-06 08:59:59.999000072,80787747.746259,76872,894.73918,39174958.5220538,0
2023-12-06 09:00:00,43825.83,44018.73,43684.34,43874.38,1745.55596,2023-12-06 09:59:59.999000072,76501279.9413139,78006,954.96985,41854445.731545,0
2023-12-06 10:00:00,43874.38,44297.21,43864.31,44111.25,3768.88293,2023-12-06 10:59:59.999000072,166236414.7363836,120615,2042.39615,90085520.7156658,0
2023-12-06 11:00:00,44111.25,44132.83,43335.28,43839.21,4655.62789,2023-12-06 11:59:59.999000072,203487409.1071528,148706,2223.5899,97191766.0126508,0
2023-12-06 12:00:00,43839.22,44208.0,43780.0,44031.02,3488.20076,2023-12-06 12:59:59.999000072,153556732.1669783,116998,1778.11855,78280257.1067336,0
2023-12-06 13:00:00,44031.03,44167.94,43974.11,44095.06,1970.7627,2023-12-06 13:59:59.999000072,86833871.4946032,78899,989.88417,43614042.0094432,0
2023-12-06 14:00:00,44095.05,44279.98,43950.0,44050.02,2969.17653,2023-12-06 14:59:59.999000072,131024193.3992426,115020,1526.62919,67363240.7385415,0
2023-12-06 15:00:00,44050.01,44098.03,43721.73,43785.2,2812.97261,2023-12-06 15:59:59.999000072,123530917.0871294,106475,1296.65214,56941871.9228114,0
2023-12-06 16:00:00,43785.2,44040.0,43730.47,43853.24,2883.68103,2023-12-06 16:59:59.999000072,126583134.7998938,78169,1355.73423,59497153.622388,0
2023-12-06 17:00:00,43853.25,44146.71,43823.96,43961.12,1848.00041,2023-12-06 17:59:59.999000072,81349301.9192314,69840,899.11179,39575817.4151306,0
2023-12-06 18:00:00,43961.13,44000.0,43863.4,43934.28,1169.01665,2023-12-06 18:59:59.999000072,51356893.3642961,50611,553.44071,24312623.5584594,0
2023-12-06 19:00:00,43934.28,44120.0,43908.28,43984.71,1267.0365,2023-12-06 19:59:59.999000072,55744716.8588981,46401,663.06488,29173130.2614566,0
2023-12-06 20:00:00,43984.71,44071.0,43751.0,43755.79,1657.49622,2023-12-06 20:59:59.999000072,72847427.557023,51771,761.82378,33482564.006012,0
2023-12-06 21:00:00,43755.78,43879.57,43609.93,43824.19,1846.79852,2023-12-06 21:59:59.999000072,80832361.420199,57725,870.85574,38122128.9386859,0
2023-12-06 22:00:00,43824.2,43959.34,43623.07,43766.84,993.10355,2023-12-06 22:59:59.999000072,43537261.6064873,43307,434.78882,19064513.8477743,0
